,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year
2_5_6_4,0.0,110.99,0.23,0.0,0.17,0.0,4247.04,0.46,0.0,0.0,0.0,0.32,0.15,new,3bc,historical,2020,RefBldgMediumOffice
2_5_6_5,0.0,3.86,0.0,0.0,0.0,90.83,7546.22,0.0,0.0,0.0,0.0,29.11,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_7_4,0.0,98.32,0.4,0.0,0.17,0.5,4246.77,0.73,0.0,0.0,0.0,0.44,0.13,new,3bc,historical,2020,RefBldgMediumOffice
2_5_7_5,0.0,2.45,0.02,0.0,0.0,179.83,7546.22,0.0,0.0,0.0,0.0,52.4,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_8_4,0.0,89.47,0.52,0.0,0.17,1.0,4246.1,1.4,0.0,0.0,0.0,0.58,0.13,new,3bc,historical,2020,RefBldgMediumOffice
2_5_8_5,0.0,1.66,0.06,0.0,0.0,336.33,7546.22,0.0,0.0,0.0,0.0,86.33,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_9_4,0.0,119.68,0.24,0.0,0.17,0.0,4247.24,0.26,0.0,0.0,0.0,0.26,0.18,new,3bc,historical,2020,RefBldgMediumOffice
2_5_9_5,0.0,4.95,0.0,0.0,0.0,38.5,7546.22,0.0,0.0,0.0,0.0,14.14,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_10_4,0.0,92.61,0.56,0.0,0.17,0.83,4246.7,0.8,0.0,0.0,0.0,0.49,0.13,new,3bc,historical,2020,RefBldgMediumOffice
2_5_10_5,0.0,2.02,0.07,0.0,0.0,259.5,7546.22,0.0,0.0,0.0,0.0,72.81,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_11_4,0.0,71.01,0.98,0.0,0.17,4.67,4243.56,3.94,0.0,0.0,0.0,1.17,0.1,new,3bc,historical,2020,RefBldgMediumOffice
2_5_11_5,0.0,0.6,0.73,0.0,0.0,880.17,7546.22,0.01,0.0,0.0,0.0,265.76,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_12_4,0.0,52.38,1.75,0.0,0.17,15.67,4235.27,12.23,0.0,0.0,0.0,3.1,0.08,new,3bc,historical,2020,RefBldgMediumOffice
2_5_12_5,0.0,0.12,3.43,0.0,0.0,2072.67,7536.56,9.67,0.0,0.0,0.0,808.87,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_6_0_4,0.0,667.93,0.11,0.0,4.5,0.0,4247.5,0.0,0.0,0.0,0.0,0.0,2.6,new,3c,historical,2020,RefBldgMediumOffice
2_6_0_5,0.0,303.79,0.0,0.0,0.0,5.33,7546.22,0.0,0.0,0.0,0.0,1.15,0.02,new,3c,historical,2020,RefBldgMidriseApartment
2_6_1_4,0.0,520.03,0.45,0.0,2.5,0.0,4247.5,0.0,0.0,0.0,0.0,0.02,1.58,new,3c,historical,2020,RefBldgMediumOffice
2_6_1_5,0.0,146.94,0.0,0.0,0.0,47.33,7546.22,0.0,0.0,0.0,0.0,11.08,0.02,new,3c,historical,2020,RefBldgMidriseApartment
2_6_2_4,0.0,506.1,0.51,0.0,2.5,0.0,4247.5,0.0,0.0,0.0,0.0,0.03,1.52,new,3c,historical,2020,RefBldgMediumOffice
